"site","lat","long","dates"
6657,56.3968,-3.4285,25
6692,57.2363,-2.3539,65
6813,57.7678,-7.0914,4
6870,58.0168,-4.0752,19
6881,58.0168,-4.0752,1
6886,56.4422,-3.1759,3
6893,60.1625,-1.1343,1
6944,52.9855,-9.1115,12
7089,55.8842,-3.39,1
7111,59.0691,-3.0607,10
7210,59.0499,-3.0347,4
7292,59.0389,-3.1722,1
7344,54.9038,-2.9157,3
7433,55.0601,-3.63,1
7436,55.5869,-2.0369,3
7461,55.5713,-2.0972,3
7473,55.564,-2.0303,12
7519,53.5851,-1.4003,4
7584,57.4778,-4.2247,4
7671,57.4475,-4.2395,1
7734,56.5604,-3.3397,5
7742,55.9357,-3.4054,14
7820,56.6533,-2.5203,14
7823,55.9714,-2.4441,51
7843,53.7139,-1.2894,4
7848,55.1369,-3.6486,4
7959,54.7879,-4.1072,2
7989,54.7817,-4.1006,2
7998,55.2877,-4.8317,1
8011,58.9223,-2.7405,18
8018,55.9828,-2.4619,3
8036,57.7674,-3.8961,6
8057,51.3975,-1.2783,18
8060,55.9959,-3.7588,1
8081,55.1706,-3.3938,2
8222,57.6003,-3.4372,2
8239,55.9767,-3.3005,2
8411,59.3576,-2.9028,8
8412,59.3576,-2.9028,19
8520,52.3225,-0.1556,11
8600,52.6688,-0.36,1
8632,54.9793,-2.1197,1
8635,51.4868,-0.6516,1
8709,54.9594,-1.7257,1
8984,52.0722,-1.3226,1
8993,60.219,-1.5019,8
9019,54.2025,-0.4058,11
9099,52.1716,0.1019,2
9136,53.325,-3.826,1
9159,59.2251,-2.5681,1
9184,51.6666,-4.7319,13
9185,58.5355,-3.5983,1
9208,51.8602,-4.7388,2
9234,57.6314,-4.3028,9
9242,51.4996,0.0858,8
9248,56.4174,-5.4724,1
9273,53.0175,-6.3897,10
9275,52.8645,-1.3679,4
9280,53.3461,-0.9568,1
9282,55.4408,-5.2441,1
9299,52.7101,-0.3851,1
9308,53.2324,-0.6747,3
9339,53.3078,-4.2303,40
9377,55.4379,-2.0174,3
9389,59.3101,-2.9407,2
9415,51.2566,-2.609,3
9421,51.5028,0.0264,7
9423,52.6685,-8.7713,3
9430,53.1706,-7.8278,4
9478,53.547,-9.3466,1
9480,52.7473,-7.6921,6
9505,53.547,-9.3466,1
9508,53.547,-9.3466,1
9535,52.7459,-7.6661,1
9541,51.5189,0.0554,1
9558,51.5022,0.0403,5
9559,53.7742,-0.9302,7
9563,53.7237,-1.1924,6
9571,53.9666,-1.1033,3
9594,54.0945,-1.3321,4
9614,54.4851,-1.527,3
9618,54.2182,-0.4088,3
9628,51.5109,-0.0949,4
9646,52.8617,-1.4563,2
9654,55.437,-1.9684,27
9660,51.4425,0.324,3
9661,53.3319,-4.239,1
9667,53.2321,-4.1394,1
9668,54.1371,-2.0436,3
9670,54.1406,-1.5075,3
9671,51.8561,-4.2957,4
9686,53.6402,0.1315,10
9691,55.2635,-4.8454,1
9712,51.5411,-3.054,2
9767,54.1136,-8.5191,5
9777,53.3031,-0.7387,2
9801,55.7279,-3.4342,6
9832,52.6015,-0.4548,2
9877,52.7473,-7.6921,1
9906,52.7473,-7.6921,1
9941,52.7423,-7.6709,1
9943,53.547,-9.3466,1
9951,52.7473,-7.6921,1
9954,54.264,-1.2244,1
9955,51.2649,-2.9253,5
9956,51.5038,-0.1189,1
9957,51.5556,-2.8135,32
9960,53.3482,-2.2785,24
9968,52.4059,-3.692,1
9971,51.4381,0.2129,2
9992,51.2493,-2.7737,1
10023,52.8607,-1.369,5
10027,53.2942,-2.2105,8
10032,53.2381,-2.5056,16
10047,54.1226,-1.5035,1
10049,52.2159,-0.8432,2
10063,51.4816,-0.1741,11
10095,52.8382,-8.2832,7
10096,55.1292,-1.8827,3
10100,55.5913,-2.096,8
10110,50.8572,0.0506,4
10146,52.7473,-7.6921,1
10155,52.7473,-7.6921,1
10156,54.2387,-4.65,2
10160,54.3416,-4.5489,4
10161,54.3353,-4.4162,1
10229,52.7473,-7.6921,1
10348,52.7473,-7.6921,1
10351,54.1503,-4.499,3
10365,53.29,-7.7569,2
10366,53.0982,-7.7004,1
10380,53.3167,-7.7333,1
10386,54.3759,-4.4109,3
10387,54.3787,-4.4029,3
10390,54.3586,-4.4238,2
10391,53.2966,-7.8056,1
10411,53.3341,-7.7893,1
10412,53.3159,-7.7685,3
10416,53.2919,-7.4719,1
10424,53.387,-2.8014,1
10427,53.161,-6.73,41
10431,51.5117,-2.6726,8
