"site","lat","long","dates"
13723,55.5208,13.1,1
13754,52.7469,18.2055,1
13833,55.3221,9.1942,11
13834,55.4167,10.25,1
13835,54.8333,11.15,1
13836,55.4833,10.1667,1
13837,55.567,13.05,1
13838,56.23,12.5,2
13839,55.4667,13.1333,1
13840,55.2167,14.75,1
13841,55,15,1
13842,55.1,14.8,1
13843,55.1667,14.8167,1
13844,55.55,9.3167,1
13845,56.3667,9.5833,1
13846,55.4333,11.9833,1
13847,57.4667,12.45,1
13849,57.4167,9.75,11
13850,53.5167,14.2,5
13857,55.5667,10.2833,2
13858,55.24,10.23,1
13859,55.5,9.95,1
13860,55.5,11.217,5
13862,55.4167,13.7167,1
13863,55.6333,9.4,1
13864,55.75,12.55,1
13865,55.1333,15.0333,2
13866,57.1167,9.4667,1
13867,55.14,10.07,1
13868,55.1333,10.2167,1
13869,55.2097,11.4966,1
13870,55.2,11.8,1
13871,54.7667,11.7667,1
13872,55.55,11.7167,2
13873,55.7,12.1,2
13875,55.65,13.2,2
13876,55.5833,13.3167,1
13877,55.45,13.4333,1
13879,55.56,12.19,1
13880,55.8,9.5,2
13881,55.2,11.5,1
13882,55.1,10.44,1
13883,55.3,12,1
13884,55.3,9.6,1
13885,57.1833,12.3667,1
13886,55.1,14.7,1
13891,53.65,9.8,1
13901,54.8333,10.4167,1
13902,53.4941,10.3595,2
13904,57.4666,9.9833,1
13912,55.28,13.15,1
13914,53.7,10,4
13920,55.55,13.95,2
13925,53.47,11.31,1
13926,54.36,9.645,1
13927,57.4,10.5,1
13928,55.4,11.25,1
13929,55.8,9.5,2
13930,55.5,11.5,1
13931,56.5167,9.95,1
13933,55.5167,13.1333,1
14093,55.4606,9.1209,15
14116,55.3667,10.4833,8
14192,55.5882,13.1215,60
14198,54.7989,11.2027,1
14199,60.6894,24.7816,1
14204,62.2667,29.7,2
14205,60.2667,24.85,29
14207,60.45,27.5833,2
14208,60.7167,23.5833,5
14213,60.2325,19.9855,5
14215,61.6,22.05,1
14218,60.2,21.4,1
14220,63,27.4333,1
14221,60.4,23.1333,19
14222,60.4,23.1333,1
14225,61.3,25.8667,1
14226,61.8833,25.7333,1
14227,60.1333,23.7667,1
14228,60.45,22.3,1
14229,60.4667,22.2833,2
14232,59.975,23.4333,1
14236,61.8,27.5333,1
14237,66.1167,24.7167,13
14240,68.8833,27.0833,2
14243,61.0833,22.1667,15
14244,60.3833,23.1333,20
14255,67.7,26.8333,1
14256,64.7,28.5,4
14265,62.2667,29.7,2
14269,65.0333,29.0833,2
14281,60.2329,20.0807,54
14283,66.45,26.0667,10
14284,60.8,21.8333,2
14285,60.25,24.8833,2
14286,64.2167,27.7667,6
14287,64.9,29.5167,1
14288,64.9,28.85,1
14289,60.3833,23.1333,1
14290,67.7056,26.7947,1
14295,66.6326,25.3452,1
14296,60.2333,24.65,2
14298,62.6667,25.3333,1
14299,62.6667,25.3333,2
14301,60.5333,25.5833,1
14304,60.5167,25.5833,1
14305,60.5167,25.6,1
14306,62.9667,23.5,3
14307,60.55,25.5833,1
14308,62.9833,23.7167,1
14309,62.6167,23,1
14310,61.0833,22.75,1
14311,60.3833,25.1167,1
14312,60.6333,25.6,3
14313,62.5833,22.4333,1
14314,64.6,29.0167,3
14316,64.15,28.5833,1
14321,62.2667,27.0333,5
14324,60.4667,22.3,1
14325,61.1167,22.1667,5
14326,60.45,22.6667,3
14328,60.0333,23.6333,2
14330,60.25,19.55,2
14331,64.8833,29,1
14333,61.35,23.0167,5
14335,61.3833,23,2
14336,61.0333,21.5833,2
14337,60.2167,23.2167,7
14339,61.2833,22.4,2
14340,61.2833,22.3833,1
14344,62.95,22.4167,3
14345,60.4167,22.55,2
14346,60.4167,22.55,1
14351,60.4333,22.5333,5
14352,70.0333,27.6667,3
14353,60.7333,24.2,4
14354,64.15,28.3833,1
14356,65.85,25.4833,6
14357,60.45,22.3,1
14358,62.65,21.8,2
14359,69.35,28.3,4
14361,60.2667,24.85,6
14365,62.0833,27.1333,3
14367,65.8333,24.4167,3
14368,64.2333,25.2667,1
14369,60.4667,22.7,1
14370,64.35,24.35,12
14372,60.4333,22.5333,1
14373,64.2333,25.2667,3
14375,64.7667,24.8667,1
14376,60.6333,27.2,1
14377,64.0167,28.7333,2
14378,70.0667,27.7,3
14379,60.5833,26.8167,3
14380,61.4333,25.7333,1
14381,64.8833,28.9167,1
14382,62.65,31.1667,1
14383,68.9,28.4167,2
14384,68.3833,23.6667,7
14385,64.8795,28.9476,1
14386,62.6,23.7333,1
14387,65.7167,26.5833,1
14388,62.2,22.3667,1
14389,66.5333,25.6667,2
14390,66.5333,25.6667,8
14391,66.5833,25.6167,2
14392,59.9333,20.8667,36
14393,60.9833,23.05,1
14394,60.4667,22.5667,1
14395,65.0089,24.7142,18
14396,61.0333,21.6167,3
14397,61.3,22.0667,5
14398,60.5333,25.6,2
14399,60.2,22.8,4
14406,66.6333,24.4333,3
14408,60.2667,24.85,2
14409,64.1,29,3
14410,64.1333,29.4833,1
14411,60.25,24.8667,6
14412,62.9333,21.95,1
14413,62.7833,21.8,1
14414,62.8833,21.9667,1
14415,62.8833,21.9667,1
14416,63.25,22.55,1
14417,65.3833,27.35,3
14419,61,24.4667,33
14420,65.3667,25.9167,4
14422,60.3,25.0667,3
14423,65.1333,25.35,1
14427,63.8333,29.9167,1
14429,70.0667,27.7,6
14437,64.1167,29,1
14438,61.2167,21.9833,1
14439,62.9,21.5333,3
14440,63.4,23.35,2
14441,63.3833,22.5333,5
14442,68.3955,23.6981,8
14443,61.1167,22.15,1
14444,61.1333,22.1667,1
14445,60.4167,22.5833,1
14446,60.2167,23.2167,1
14449,69.9,27.05,1
14450,64.6167,24.45,2
14451,68.9167,27,9
14452,68.9109,27.0156,8
14454,65.4667,25.5667,1
14455,67.1833,27.3167,3
14456,60.65,22.0833,3
14458,62.95,26.75,1
14459,69.0167,25.7667,12
14460,69.9,27.0167,2
14461,68.85,28.3167,1
14462,65.7,25.75,1
14463,61.2167,24.5,15
14464,62.9,21.7833,2
14465,64.0833,26.1833,16
14469,60.8982,29.4561,3
14472,68.3811,24.1906,7
14473,63.3333,23.1667,1
14474,62.3833,26.0667,2
14475,69.9,27.05,3
14476,61.1167,23.5167,3
14477,63.45,26.6167,2
14478,60.4,22.3167,1
14479,60.4667,22.6667,1
14481,66.0833,25,1
14482,66.1833,25.0167,1
14483,65.5667,28,2
14484,60.45,22.6167,1
14485,61.7833,23.1333,1
14486,65.3667,25.9,1
14494,64.35,24.35,5
14496,61.0167,22.4,4
14500,60.0667,22.4333,7
14501,69.6833,27.0833,4
14502,62.3667,26.0167,1
14503,61,24.65,3
14504,60.968,24.473,1
14506,62.5833,25.25,1
14507,68.9167,27.0167,2
14508,63.65,23.25,1
14509,66.5667,25.75,5
14510,60.0667,23.5667,2
14511,60.2177,19.7449,34
14512,62.7667,21.1667,4
14513,66.45,26,2
14514,63.85,29.9,2
14515,64.5333,27.5333,1
14517,65.7,25.75,4
14518,68.9167,27.0167,1
14519,68.6,27.55,2
14520,60.2078,19.6125,14
14522,60.1167,19.9167,4
14524,66.5,25.75,3
14525,64.8795,28.9476,2
14527,68.6833,27.7,3
14528,61.8667,26.3167,1
14529,61.9833,25.75,1
14530,63.2833,25.1,1
14531,63.55,27.0167,1
14532,63.1,26.65,2
14533,61.9833,29.2167,1
14534,60.9667,24.4667,4
14535,64.15,29.3,1
14536,66.1,27.1167,6
14537,60.3333,23.1667,2
14538,68.4,23.7,4
14539,60.1549,19.9485,1
14540,61.0167,24.45,3
14541,61.45,23.5,2
14544,68.9109,27.0156,15
14545,60.0333,23.6333,2
14546,64.7167,28.5833,2
14548,61.0333,30,2
14549,66.4667,25.9333,2
14550,60.4667,22.35,1
14551,60.5667,22.0833,2
14553,63.3,30.05,1
14554,69.9,27.0667,2
14555,68.4,23.6667,2
14556,68.3667,23.5333,1
14557,68.3667,23.5167,1
14558,68.3667,23.8833,1
14559,68.3667,23.5667,1
14560,68.3667,23.6333,1
14561,68.3667,23.6,1
14562,60.4333,22.4333,3
14563,62.1833,29.9,4
14564,61.2667,22.4,1
14567,65.2,29.4333,2
14568,65.2,29.4333,1
14569,65.9,24.7167,1
14570,65.75,24.6667,1
14571,65.7167,24.75,1
14572,64.7,28.4833,1
14573,61.0833,24.1667,2
14574,61.05,24.3167,1
14575,63.05,21.5,1
14576,62.6333,21.8667,1
14577,60.2752,20.0515,22
14578,62.1833,29.9,3
14579,60.8667,22.4167,1
14580,60.4833,22.7,1
14581,63.1167,30.3333,5
14583,60.0667,23.4333,1
14584,67.6833,26.8167,7
14585,62.7167,29.1,5
14588,60.4667,27.5833,2
14590,68.5833,23.4833,3
14591,68.5833,23.4833,1
14593,60.7833,21.8667,2
14594,60.2301,19.9881,7
14595,63.7167,23.05,2
14596,67.4833,26.65,1
14597,67.45,26.6,3
14598,65.3833,26.85,2
14599,60.5167,24.9667,3
14600,60.5333,22.45,2
14601,68.9139,27.0268,3
14602,60.4167,22.4167,1
14603,68.9,27.0167,1
14604,68.35,23.4833,2
14605,68.3667,23.6667,1
14606,68.3667,23.5333,1
14607,68.3667,23.5167,1
14608,68.3667,23.5833,1
14609,68.3667,23.55,1
14610,68.3667,23.5833,1
14613,60.6333,30.3167,1
14615,64.95,25.5333,2
14616,66.0833,27.1167,1
14617,65.5667,29,1
14618,65.5667,29,2
14619,61.5,27.3667,4
14620,66.4667,25.9333,3
14621,65.7167,24.75,1
14622,65.35,25.9167,2
14623,66.45,25.9833,2
14627,64.55,28.8167,1
14628,64.75,28.3833,1
14629,64.7333,28.35,1
14630,64.0667,29.1667,1
14635,60.3667,23.2833,1
14636,64.0667,29.0167,2
14637,66.0333,24.85,1
14642,64.6833,29.25,1
14643,65.0667,28.2833,1
14644,64.5833,28.9833,1
14645,64.5833,28.7667,1
14648,62.9167,29.35,3
14649,65.3833,25.9,2
14650,64.8059,28.467,1
14651,68.3667,24.7833,1
14652,66.75,27.3167,1
14653,68.1667,25.7,1
14654,65.9833,24.4833,1
14655,65.9,29.25,1
14656,64.7333,28.2333,1
14657,60.65,27.2,1
14658,60.3,25.0667,4
14659,60.3,25.0667,1
14660,62.1833,29.9,3
14661,62.7,29.1,4
14662,69,25.7667,1
14663,68.6,23.5833,1
14664,63.5667,23.6833,2
14665,64.8059,28.467,1
14676,60.8747,27.7851,1
14703,60.1833,24.75,1
14704,60.1833,23.9167,2
14707,60.5667,22.4667,1
14708,61.7667,28.4,1
14710,61.5,25.6667,1
14716,62.75,21.3333,2
14717,62.6667,21.6667,1
14718,63.4833,24.8,1
14720,65.0333,29.0667,4
14721,65.9667,29.1833,1
14722,63.0509,26.7447,1
14723,66.1167,24.7,4
14724,61.5,27.2667,1
14726,69.7076,27.5087,5
14727,63.3667,27.4167,1
14728,61.85,28.95,1
14730,62.4333,28.0833,1
14731,60.5833,26.8,1
14732,61.0175,29.4866,1
14733,61.061,29.8979,1
14734,61.1167,28.1,1
14735,60.9596,29.7533,1
14736,61.0651,29.9003,3
14737,61.4667,27.4167,1
14738,61.8833,25.7333,1
14740,65.2833,29.4667,1
14741,65.2,29.4333,3
14742,66.4667,25.9333,1
14743,65.2,29.4167,1
14744,64.1333,29.0167,1
14745,65.2,29.4167,1
14746,64.9,28.95,1
14747,65.0667,26.1833,2
14748,66.45,25.6333,1
14749,64.8,26.25,1
14750,64.7667,26.3167,1
14751,66.4667,25.9333,3
14752,62.1833,29.9333,1
14753,64.8833,25.2833,1
14754,69.2904,26.6817,1
14755,60.9376,27.6928,1
14756,62.9504,30.1055,1
14757,62.6972,30.2432,5
14758,61.0933,28.638,1
14759,61.061,28.7401,1
14760,61.0674,28.7225,7
14761,65.5667,29,1
14762,61.9167,24.05,1
14763,62.7647,29.1276,1
14764,62.6893,30.2623,2
14765,60.2833,25.0333,1
14766,69.9,27.0833,1
14767,66.2833,27.8333,1
14768,69.9793,27.9763,1
14769,68.6,27.4,1
14770,68.0667,27.4,2
14772,66.3667,27.2833,1
14773,64.8,29.1667,1
14774,62.6694,25.3291,3
14775,65.7167,24.75,1
14776,65.35,25.9167,2
14777,60.9226,25.694,1
14778,60.8433,25.6704,1
14779,66.45,26.05,1
14780,66.2864,36.8667,1
14781,60.5406,25.175,1
14782,60.9391,25.6174,1
14783,60.75,29.1666,1
14784,60.75,29.1666,1
14785,68.3833,23.6667,1
14786,62.614,29.784,1
14787,60.5628,22.5673,1
14788,61.712,22.5721,1
14789,65.8667,25.5667,2
14790,60.9167,29.7667,1
14791,67.9667,39.8167,1
14792,68.6167,27.5,1
14793,66.3667,27.3333,1
14794,64.5833,24.45,2
14795,64.4167,25.25,1
14796,63.0129,28.4099,1
14797,61.5,26.8,1
14798,60.9579,29.4705,1
14799,62.3,20.2,1
14800,65.35,26.0333,3
14801,64.7,29.5667,1
14802,60.9976,29.736,1
14804,61.3144,26.1878,1
14805,61.8966,25.3617,2
14806,67.5394,22.6717,2
14807,61.9999,30.7833,1
14808,60.345,25.1218,2
14809,60.3249,25.0534,2
14810,56.8788,16.7154,1
14811,56.5134,16.444,2
14812,68.3955,23.6981,1
14813,68.7258,27.2455,1
14814,63.5436,29.642,1
14815,63.5441,29.6088,1
14816,63.5083,29.6456,1
14817,62.7009,30.25,1
14818,63.2902,29.2715,1
14819,67.0906,27.7439,1
14820,67.046,27.7815,1
14821,67.8068,29.2875,1
14822,69.1541,27.8128,1
14823,66.029,28.0545,1
14824,67.4639,23.5453,1
14825,55.9719,12.2304,1
14828,55.3388,10.0931,1
14835,55.5747,9.6449,1
14838,55.5872,11.5491,2
14839,55.5956,11.562,1
14841,55.2088,14.7425,1
14842,55.6012,11.3112,2
14844,56.0471,12.4096,1
14845,55.5,11.5,1
14846,54.9178,12.1682,1
14848,55.5401,9.2123,1
14849,55.0837,10.6212,1
14850,55.35,11.24,2
14851,55.5826,11.502,1
16006,57.1333,13.119,1
16007,55.8481,12.5488,15
16009,55.59,12.18,3
16010,55.8481,12.5544,13
16012,55.6423,12.25,2
16013,56.9,9.3153,1
16014,55.5016,9.5127,1
16025,52.7,18.4833,1
16100,56.8844,12.6286,1
16270,58.6401,16.5986,1
16291,58.1833,13.4,1
16361,55.3757,13.4176,2
16414,56.0285,21.0827,1
18118,56.0158,14.0641,9
18120,54.2271,10.0856,3
18218,58.5179,16.5218,2
18344,60,10,2
18351,55.3524,10.1801,2
18352,55.506,9.5506,15
18369,54.9136,9.7238,5
18372,56.9544,8.6642,6
18378,56.9624,8.6759,2
18383,54.9667,8.691,2
18384,55.2014,9.2955,2
18385,56.9505,8.7234,4
18386,56.0201,12.2015,9
18412,56.9498,8.7401,38
18413,56.9656,8.7946,2
18414,55.2349,9.6993,4
18415,55.0675,9.3731,15
18416,57.1901,10.1028,2
18441,55.3074,12.007,2
18444,55.4149,10.4505,2
18453,55.4388,10.4496,8
18454,55.2439,10.044,1
18455,55.2278,9.3206,11
18456,57.0091,10.29,3
18457,54.9422,9.6736,5
18458,55.4576,9.1165,18
18459,56.4293,9.4061,1
18460,55.3848,10.3697,7
18461,55.2403,9.525,15
18462,56.8817,8.4589,8
18463,57.0762,8.6931,1
18464,57.0827,8.7015,3
18465,56.9747,8.5326,2
18466,55.4177,8.3962,3
18467,55.4412,9.3206,3
18474,58.987,5.6859,3
18475,57.0764,10.2558,1
18479,56.8436,8.5657,4
18480,56.9201,8.5717,2
18481,56.7358,8.4609,2
18486,57.4148,14.0982,6
18550,56.5414,16.4436,9
18579,58.6235,23.5814,6
18597,55.3378,10.6306,4
18598,55.071,9.3576,6
18599,55.1154,9.3604,1
18600,56.9076,8.6325,1
18601,55.2371,8.9559,1
18602,55.4386,9.2358,2
18608,52.7963,18.3692,3
18609,52.5929,21.4584,1
18610,52.5866,21.4875,2
